trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0618151	0.0166
-0.0004	0.0065	-0.0046	-7.330382858376184e-05	-3.665191429188092e-05	-1.9198621771937625e-05	1.23784888	102.75382233	1.01653715	0.017957718232379016	0.0609143	0.01178
-0.0064	-0.0072	0.0137	-0.00013962634015954637	-6.9813170079773176e-06	-5.585053606381854e-05	1.21872342	101.16621399	0.98926276	0.044632251157578455	0.0590959	0.00958
-0.0046	0.0117	0.0139	-0.0002303834612632515	-4.537856055185256e-05	-7.853981633974481e-05	1.27178919	105.57120514	0.99679123	0.028492182246175328	0.0576502	0.00887
-0.0047	-0.0074	0.0279	-0.0003106686068549907	-1.5707963267948964e-05	-0.0001186823891356144	1.23418689	102.44983673	0.99130654	0.040704915783575615	0.0540596	0.00647
-0.0073	0.0005	0.0325	-0.0003106686068549907	-0.00016406094968746698	-0.0001256637061435917	1.23958266	102.89774323	0.98843909	0.022866715171374764	0.053839	0.00652
-0.0104	-0.0072	0.0239	-0.0	-0.0002897246558310587	-0.0001291543646475804	1.22231674	101.46450043	0.98536566	0.04139114857512856	0.0540202	0.00639
-0.0224	-0.0241	0.0513	-4.18879020478639e-05	-0.0002548180707911721	-0.00013439035240356338	1.21971881	101.24884033	0.98310695	0.06040152374218667	0.0516434	0.0049
-0.0182	0.0029	0.0141	9.42477796076938e-05	-0.00039793506945470715	-0.00014311699866353502	1.25160491	103.89570618	0.98306349	0.0827989663289532	0.0553351	0.00672
-0.0311	-0.0492	0.0398	0.0001605702911834783	-0.00034906585039886593	-0.00020943951023931956	1.28460336	106.63491058	0.99216689	0.09977571211037053	0.0517399	0.0052
-0.0274	-0.001	0.029	0.0004468042885105483	-0.0005061454830783556	-0.0001256637061435917	1.29208422	107.25589752	0.98691887	0.08905447170511438	0.0563834	0.00651
-0.0393	-0.0472	0.026	0.0012740903539558604	-0.0003769911184307752	-0.00017104226669544429	1.26855874	105.30304718	1.00484014	0.11119094953223724	0.0581312	0.00801
-0.0362	-0.0129	-0.0065	0.0012880529879718153	-0.0005899212871740833	-0.0001675516081914556	1.26416206	104.9380722	0.99302607	0.08141917306316257	0.0628371	0.01013
-0.0389	-0.049	0.0068	0.0016388641676226754	-0.0005724679946541401	-0.00011693705988362007	1.2390312	102.85195923	0.99211327	0.07304395102393194	0.0613094	0.00933
-0.0457	-0.0278	0.005	0.0016877333866785165	-0.0005445427266222308	-0.000148352986419518	1.21901631	101.19052887	0.98363006	0.035210520681182425	0.0638217	0.01025
-0.0462	-0.0384	0.0059	0.0015515977050229591	-0.0005724679946541401	-9.250245035569947e-05	1.30667591	108.46714783	0.99200728	0.02299557428756426	0.0637492	0.00998
-0.0492	-0.0413	0.0045	0.001673770752662562	-0.00062482787221397	-0.000148352986419518	1.21428454	100.79774475	0.98602187	0.018819173063162577	0.0632795	0.01
-0.0477	-0.0257	-0.0144	0.0018936822384138475	-0.0006056292504420323	-5.93411945678072e-05	1.21913493	101.20037842	0.98689975	0.0524060949687467	0.0672836	0.01227
-0.0469	-0.0465	0.0071	0.0014224433403753785	-0.0006649704450098395	-7.504915783575618e-05	1.29049516	107.12398529	0.98666716	0.07041440279371126	0.0619348	0.00936
-0.0483	-0.0284	-0.0266	0.001748819910498318	-0.0007016223593017205	-0.00015009831567151235	1.19544017	99.23347473	0.98501669	0.07510388211252883	0.0661846	0.01137
-0.0574	-0.0548	0.0177	0.001583013631558857	-0.0006038839211900379	-9.599310885968811e-05	1.22788548	101.92675781	0.99183225	0.09568249619314835	0.0614058	0.00902
-0.058	-0.0342	-0.0055	0.0016912240451825054	-0.0006667157742618339	-8.203047484373349e-05	1.24363422	103.23406219	0.97844108	0.05365024503556996	0.0622821	0.01
-0.0573	-0.0393	0.0005	0.001853539665617978	-0.0006771877497737998	-5.4105206811824215e-05	1.22200966	101.43900299	0.98340527	0.0218356431989674	0.0632573	0.00997
-0.0607	-0.0513	0.0066	0.0016336281798666925	-0.0007068583470577034	-0.0001361356816555577	1.24302983	103.1838913	1.00329723	0.03808062789394613	0.0607145	0.00921
-0.0554	-0.0386	-0.0086	0.0017505652397503124	-0.000757472895365539	-8.726646259971648e-05	1.21265137	100.66217041	0.98267515	0.04402104136236482	0.0623726	0.01006
-0.0671	-0.0604	0.0236	0.001635373509118687	-0.0006649704450098395	-0.00011170107212763708	1.21129274	100.5493927	0.98020205	0.07730643952576227	0.0584396	0.00805
-0.0597	-0.0474	0.0103	0.001556833692778942	-0.000710349005561692	-5.235987755982989e-05	1.24006724	102.93796539	0.97549647	0.04286297857297024	0.0602508	0.00863
-0.0656	-0.0757	0.0402	0.001656317460142619	-0.0005759586531581287	-9.075712110370512e-05	1.24164116	103.06861877	0.97736029	0.07771356816555577	0.0569909	0.00741
-0.059	-0.0384	-0.014	0.001637118838370681	-0.0005340707511102648	2.6179938779914945e-05	1.24742031	103.54833984	1.00061118	0.10700117918517112	0.0624472	0.01033
-0.0652	-0.084	0.025	0.0014433872913993105	-0.0005113814708343385	-2.96705972839036e-05	1.21530926	100.88280487	0.99618917	0.10441356816555576	0.0561751	0.00718
-0.0618	-0.0472	0.0039	0.0016336281798666925	-0.0005427973973702365	5.061454830783555e-05	1.24560928	103.39801025	0.98910355	0.07639709802975096	0.0612135	0.00896
-0.0682	-0.0853	0.0465	0.0011780972450961724	-0.0005375614096142535	-3.665191429188092e-05	1.27714288	106.01561737	0.99690494	0.11450166925631096	0.0542056	0.00609
